pair_idx,w_idx,s_idx,store_id,item_id,dept_id,cat_id
0,0,0,CA_1,FOODS_1_052,FOODS_1,FOODS
1,0,1,CA_1,FOODS_2_134,FOODS_2,FOODS
2,0,2,CA_1,FOODS_2_152,FOODS_2,FOODS
3,0,3,CA_1,FOODS_2_284,FOODS_2,FOODS
4,0,4,CA_1,FOODS_2_350,FOODS_2,FOODS
5,0,5,CA_1,FOODS_3_005,FOODS_3,FOODS
6,0,6,CA_1,FOODS_3_084,FOODS_3,FOODS
7,0,7,CA_1,FOODS_3_114,FOODS_3,FOODS
8,0,8,CA_1,FOODS_3_155,FOODS_3,FOODS
9,0,9,CA_1,FOODS_3_161,FOODS_3,FOODS
10,0,10,CA_1,FOODS_3_282,FOODS_3,FOODS
11,0,11,CA_1,FOODS_3_327,FOODS_3,FOODS
12,0,12,CA_1,FOODS_3_373,FOODS_3,FOODS
13,0,13,CA_1,FOODS_3_596,FOODS_3,FOODS
14,0,14,CA_1,FOODS_3_735,FOODS_3,FOODS
15,0,15,CA_1,HOBBIES_1_268,HOBBIES_1,HOBBIES
16,0,16,CA_1,HOBBIES_1_277,HOBBIES_1,HOBBIES
17,0,17,CA_1,HOBBIES_1_294,HOBBIES_1,HOBBIES
18,0,18,CA_1,HOBBIES_1_398,HOBBIES_1,HOBBIES
19,0,19,CA_1,HOBBIES_2_140,HOBBIES_2,HOBBIES
20,0,20,CA_1,HOUSEHOLD_1_048,HOUSEHOLD_1,HOUSEHOLD
21,0,21,CA_1,HOUSEHOLD_2_031,HOUSEHOLD_2,HOUSEHOLD
22,0,22,CA_1,HOUSEHOLD_2_129,HOUSEHOLD_2,HOUSEHOLD
23,0,23,CA_1,HOUSEHOLD_2_214,HOUSEHOLD_2,HOUSEHOLD
24,0,24,CA_1,HOUSEHOLD_2_231,HOUSEHOLD_2,HOUSEHOLD
25,0,25,CA_1,HOUSEHOLD_2_256,HOUSEHOLD_2,HOUSEHOLD
26,0,26,CA_1,HOUSEHOLD_2_273,HOUSEHOLD_2,HOUSEHOLD
27,0,27,CA_1,HOUSEHOLD_2_426,HOUSEHOLD_2,HOUSEHOLD
28,0,28,CA_1,HOUSEHOLD_2_463,HOUSEHOLD_2,HOUSEHOLD
29,0,29,CA_1,HOUSEHOLD_2_500,HOUSEHOLD_2,HOUSEHOLD
30,1,0,TX_1,FOODS_1_106,FOODS_1,FOODS
31,1,1,TX_1,FOODS_2_090,FOODS_2,FOODS
32,1,2,TX_1,FOODS_2_210,FOODS_2,FOODS
33,1,3,TX_1,FOODS_2_236,FOODS_2,FOODS
34,1,4,TX_1,FOODS_2_257,FOODS_2,FOODS
35,1,5,TX_1,FOODS_2_307,FOODS_2,FOODS
36,1,6,TX_1,FOODS_3_025,FOODS_3,FOODS
37,1,7,TX_1,FOODS_3_117,FOODS_3,FOODS
38,1,8,TX_1,FOODS_3_187,FOODS_3,FOODS
39,1,9,TX_1,FOODS_3_310,FOODS_3,FOODS
40,1,10,TX_1,FOODS_3_517,FOODS_3,FOODS
41,1,11,TX_1,FOODS_3_562,FOODS_3,FOODS
42,1,12,TX_1,FOODS_3_635,FOODS_3,FOODS
43,1,13,TX_1,FOODS_3_702,FOODS_3,FOODS
44,1,14,TX_1,HOBBIES_1_239,HOBBIES_1,HOBBIES
45,1,15,TX_1,HOBBIES_1_305,HOBBIES_1,HOBBIES
46,1,16,TX_1,HOBBIES_1_403,HOBBIES_1,HOBBIES
47,1,17,TX_1,HOBBIES_2_073,HOBBIES_2,HOBBIES
48,1,18,TX_1,HOUSEHOLD_1_010,HOUSEHOLD_1,HOUSEHOLD
49,1,19,TX_1,HOUSEHOLD_1_129,HOUSEHOLD_1,HOUSEHOLD
50,1,20,TX_1,HOUSEHOLD_1_397,HOUSEHOLD_1,HOUSEHOLD
51,1,21,TX_1,HOUSEHOLD_1_430,HOUSEHOLD_1,HOUSEHOLD
52,1,22,TX_1,HOUSEHOLD_1_447,HOUSEHOLD_1,HOUSEHOLD
53,1,23,TX_1,HOUSEHOLD_2_012,HOUSEHOLD_2,HOUSEHOLD
54,1,24,TX_1,HOUSEHOLD_2_025,HOUSEHOLD_2,HOUSEHOLD
55,1,25,TX_1,HOUSEHOLD_2_146,HOUSEHOLD_2,HOUSEHOLD
56,1,26,TX_1,HOUSEHOLD_2_234,HOUSEHOLD_2,HOUSEHOLD
57,1,27,TX_1,HOUSEHOLD_2_309,HOUSEHOLD_2,HOUSEHOLD
58,1,28,TX_1,HOUSEHOLD_2_327,HOUSEHOLD_2,HOUSEHOLD
59,1,29,TX_1,HOUSEHOLD_2_349,HOUSEHOLD_2,HOUSEHOLD
