total_cost,holding_cost,stockout_cost,ordering_cost,overflow_cost,service_penalty_shaping,fill_rate,stockout_units,demand_units,n_order_events,avg_inventory,inventory_std,episode,policy
1407828.4841754436,997580.4743652344,267933.4775772095,121015.0,21299.5322329998,104997.18383026123,0.9152272891287095,26793.347770690918,316061.0,24203,2733.097190041738,746.0045596530045,0,IPPO
1435010.343449369,966840.7177734375,315742.360244751,128360.0,24067.265431180596,109558.9490814209,0.9070783003397171,31574.23601436615,339794.0,25672,2648.8786788313355,762.0457107453562,1,IPPO
1396050.5670597553,957760.3712158203,292146.3724517822,125055.0,21088.823392152786,100042.96370697021,0.9132553698962493,29214.637228012085,336789.0,25011,2624.0010170296446,707.9302539956292,2,IPPO
1418068.641394645,989570.646484375,284261.23260498047,122365.0,21871.762305289507,114173.82995986938,0.9122720913853677,28426.12331676483,324026.0,24473,2711.152456121575,712.4259375726734,3,IPPO
1406631.2063321918,961207.3225097656,297915.24980163574,126345.0,21163.634020790458,96928.81729888916,0.9121248387741444,29791.525033950806,339021.0,25269,2633.4447192048374,734.6929940930368,4,IPPO
1406445.0240494013,967634.3380126953,293445.4566421509,124025.0,21340.229394555092,106812.96906280518,0.912212256353997,29344.54570531845,334267.0,24805,2651.0529808566994,735.2434218299949,5,IPPO
1396282.2583743334,964902.5341796875,285832.35066986084,124535.0,21012.37352478504,94172.75448608398,0.9145271412215414,28583.235122680664,334413.0,24907,2643.5685867936645,736.0064815265554,6,IPPO
1418066.5356862023,1012444.7122802734,264334.96739959717,120005.0,21281.85600633174,90588.92111206055,0.916373511515361,26433.496745109558,316090.0,24001,2773.8211295349956,795.1698850876116,7,IPPO
1416273.6652560793,980634.7166748047,287733.8554763794,123015.0,24890.093104895204,116357.44442749023,0.9123847139062237,28773.38564491272,328406.0,24603,2686.6704566433004,714.3656870674214,8,IPPO
1408517.1924411058,957434.6031494141,302014.37954711914,126585.0,22483.20974457264,97650.05235290527,0.9109157314332774,30201.43781375885,339021.0,25317,2623.1085017792166,737.4348169825246,9,IPPO
1405558.8354759216,958993.2803955078,297165.51960754395,126000.0,23400.035472869873,101181.30174255371,0.912085108420356,29716.552077293396,338015.0,25200,2627.3788503986516,730.4179009062584,10,IPPO
1404486.2268989086,984216.7895507812,277776.7783050537,122150.0,20342.659043073654,97192.8374710083,0.9141697347870456,27777.67788219452,323635.0,24430,2696.4843549336474,701.6756539593208,11,IPPO
1424534.8855876923,965803.4017333984,309925.8858718872,126500.0,22305.597982406616,101098.79233551025,0.9085691530425203,30992.588485717773,338973.0,25300,2646.036717077804,754.559326815142,12,IPPO
1415795.352123201,1005900.1693115234,265954.01290893555,120730.0,23211.16990274191,103438.49793624878,0.9157400115785993,26595.401445388794,315635.0,24146,2755.8908748260915,791.4988710345234,13,IPPO
1409833.5493273735,966158.9367675781,296997.80589294434,124895.0,21781.806666851044,95800.27861785889,0.9116953120395365,29699.78061580658,336333.0,24979,2647.0107856645977,734.0804057693812,14,IPPO
1398299.8851366043,958335.2770996094,292662.15843963623,125085.0,22217.449597358704,95369.41784667969,0.9128932416366143,29266.21578168869,335981.0,25017,2625.5761016427655,728.164757052392,15,IPPO
1408046.3997330666,963199.3023681641,297322.2580718994,125135.0,22389.839293003053,99619.41133117676,0.9117591472748502,29732.225880622864,336944.0,25027,2638.902198268943,744.5764082519711,16,IPPO
1399293.9958627224,925707.3177490234,322030.9842681885,129130.0,22425.693845510483,106805.71179962158,0.9065843073863049,32203.09829902649,344729.0,25826,2536.1844321891053,624.9607326964352,17,IPPO
1430280.58466959,971576.2894287109,309358.6412124634,127670.0,21675.65402841568,103406.45190429688,0.9089974427942434,30935.864309310913,339945.0,25534,2661.852847749893,752.3873643229408,18,IPPO
1401059.8351361752,980085.921875,277092.8547515869,122920.0,20961.05850958824,103550.85076141357,0.9153677196538338,27709.285643577576,327408.0,24584,2685.1669092465754,709.45349275681,19,IPPO
1399134.0421566963,951142.6041259766,300110.1118621826,127625.0,20256.32616853714,97854.33277130127,0.9115658560039749,30011.01110649109,339360.0,25525,2605.8701482903466,729.3236699041273,20,IPPO
1439896.7447446585,1020950.4582519531,271833.9697265625,121095.0,26017.316766142845,116076.0661315918,0.9140880600781662,27183.39691066742,316410.0,24219,2797.124543156036,825.7930499540587,21,IPPO
1418517.3327786326,954212.5388183594,313652.2240142822,127395.0,23257.56994599104,132520.44821166992,0.9076708660604491,31365.22241973877,339711.0,25479,2614.280928269478,766.4286582938232,22,IPPO
1400421.9025890827,983708.1198730469,274194.76526641846,121985.0,20534.017449617386,104034.74569702148,0.9146873786127485,27419.47651386261,321400.0,24397,2695.0907393782104,720.2331141856838,23,IPPO
1404006.355635643,962145.6789550781,295414.8840789795,124930.0,21515.79260158539,97134.91696166992,0.9121291156430574,29541.488353729248,336192.0,24986,2636.015558781036,737.4705139883667,24,IPPO
1413926.3794407845,963031.4681396484,301988.66161346436,126445.0,22461.24968767166,91708.80765533447,0.9108712625021247,30198.866225242615,338823.0,25289,2638.44237846479,746.94126237,25,IPPO
1409515.3216975927,964609.3815917969,297558.8703994751,125355.0,21992.069706320763,106090.19358062744,0.9116186270925516,29755.887104988098,336676.0,25071,2642.7654290186215,747.6048468925745,26,IPPO
1403522.5732575655,958394.1099853516,295719.0405807495,125085.0,24324.422691464424,101333.7978515625,0.9122253202308093,29571.90403699875,336907.0,25017,2625.7372876311,733.092116506478,27,IPPO
1408759.2484263778,958626.890625,303894.4700012207,124690.0,21547.88780015707,105810.45729064941,0.909623537777917,30389.446928024292,336254.0,24938,2626.3750428082194,750.3021712587853,28,IPPO
1393216.5783820152,958620.3646240234,287315.67039489746,125085.0,22195.54336309433,92559.49946594238,0.9145382190860387,28731.56704902649,336192.0,25017,2626.357163353489,723.1431124669286,29,IPPO
1618946.3342582583,804202.7613525391,718835.0487060547,79215.0,16693.524199664593,1077081.7122650146,0.7725644585527011,71883.50466537476,316061.0,15843,2203.295236582299,738.7081997152422,0,EOQ
1646433.735875249,741451.8015136719,803239.8442840576,84015.0,17727.090077519417,1223426.713607788,0.7636097624870856,80323.98436546326,339794.0,16803,2031.3747986675942,613.1264263834013,1,EOQ
1629533.2841529846,754957.6473388672,773927.7566833496,82485.0,18162.880130767822,1167612.3282165527,0.7702039687915668,77392.77555465698,336789.0,16497,2068.3771159968965,656.4834446228973,2,EOQ
1638950.224300865,791724.8625488281,750412.9475250244,80295.0,16517.414227012545,1142151.9795379639,0.7684096503556339,75041.29463386536,324026.0,16059,2169.109212462543,697.18424679719,3,EOQ
1654903.7744817734,764207.765625,789339.309753418,83170.0,18186.699103355408,1197017.782913208,0.7671709692446076,78933.93083572388,339021.0,16634,2093.719905821918,690.8092407820009,4,EOQ
1640248.1435376406,760610.9997558594,781709.4132080078,81565.0,16362.730573773384,1214541.4478759766,0.7661422120232994,78170.94121360779,334267.0,16313,2083.865752755779,674.7884690872283,5,EOQ
1644835.55780375,766517.3608398438,779655.440246582,81685.0,16977.756717324257,1199354.150352478,0.7668585132280014,77965.5440158844,334413.0,16337,2100.0475639447773,671.5847888733075,6,EOQ
1611676.0059540272,802480.1450195312,715360.4197998047,78375.0,15460.441134691238,1126702.27999115,0.7736845781977444,71536.04167747498,316090.0,15675,2198.575739779538,744.0803141426871,7,EOQ
1634830.4368594885,778579.373046875,759790.3908538818,80800.0,15660.672958731651,1161332.5261230469,0.7686429632323294,75979.03901672363,328406.0,16160,2133.0941727311642,679.9576394376348,8,EOQ
