total_cost,holding_cost,stockout_cost,ordering_cost,overflow_cost,service_penalty_shaping,fill_rate,stockout_units,demand_units,n_order_events,avg_inventory,inventory_std,episode,policy
1532868.7585705519,1049165.1599121094,340734.4984893799,121725.0,21244.100169062614,114184.41326904297,0.8960052926383066,34073.44988822937,327646.0,24345,2874.425095649615,813.0170255772126,0,IPPO
1535410.183523178,1017086.3614501953,361091.1901855469,127500.0,29732.631887435913,116615.27381896973,0.8967962944968447,36109.11888885498,349882.0,25500,2786.5379765758776,883.8770602791328,1,IPPO
1513336.0295928717,1013884.4167480469,351444.7785949707,125300.0,22706.834249854088,110137.20840454102,0.8991081130756553,35144.47810745239,348338.0,25060,2777.765525337115,809.4292345827041,2,IPPO
1522765.8234226704,1032213.1076660156,345170.48611450195,122630.0,22752.229642152786,117332.95640563965,0.8970918247558541,34517.04850769043,335416.0,24526,2827.9811168931933,789.8026837558266,3,IPPO
1498046.0225012302,1005327.1470947266,347063.6171569824,125495.0,20160.258249521255,110150.00248718262,0.9006462202385257,34706.36170005798,349321.0,25099,2754.3209509444564,791.763282319183,4,IPPO
1514822.077941656,1017279.3107910156,354195.90438842773,124085.0,19261.862762212753,115079.51614379883,0.8974759738839394,35419.59044647217,345476.0,24817,2787.0666049068923,809.2639612598834,5,IPPO
1489264.4610946178,1001500.9996337891,344533.91564941406,123935.0,19294.54581141472,103136.71891021729,0.9003914809820334,34453.391426086426,345888.0,24787,2743.838355161066,799.1013693697149,6,IPPO
1560362.1155266762,1070813.787109375,341065.51162719727,121475.0,27007.816790103912,104052.91201782227,0.8961315644234542,34106.55111122131,328363.0,24295,2933.7364030393837,908.7536975096525,7,IPPO
1538461.6490260363,1036929.3355712891,353522.8578186035,123010.0,24999.455636143684,120240.3751373291,0.8959572033017316,35352.28571891785,339786.0,24602,2840.9022892364083,790.4461756073204,8,IPPO
1494639.4455372095,1001832.5627441406,349229.9515991211,125210.0,18366.931193947792,102358.37596130371,0.9000260641829843,34922.99523353577,349321.0,25042,2744.746747244221,781.5425506135044,9,IPPO
1505877.7740886211,1008978.0609130859,351981.37437438965,125570.0,19348.338801145554,107812.8263092041,0.8990447828927108,35198.13739967346,348651.0,25114,2764.3234545563996,826.0314720106978,10,IPPO
1508758.9052593708,1027737.6861572266,339895.7254638672,122405.0,18720.493638277054,102435.03453063965,0.8985740131438084,33989.57243728638,335117.0,24481,2815.7196881019904,741.6798058270634,11,IPPO
1507460.430264473,1004333.2229003906,355627.3988494873,125590.0,21909.80851459503,109627.91400146484,0.8981127096594077,35562.73982048035,349040.0,25118,2751.5978709599744,787.0077878113535,12,IPPO
1544315.9840106964,1061149.6212158203,338456.21670532227,121695.0,23015.146089553833,119616.94679260254,0.8967633431611828,33845.62176132202,327845.0,24339,2907.259236207727,903.427930971315,13,IPPO
1503676.6104009151,1006147.7303466797,353528.88778686523,124680.0,19319.992267370224,104507.42861938477,0.8984194121061053,35352.88884353638,348028.0,24936,2756.5691242374787,776.912980711368,14,IPPO
1494238.2836515903,996773.3969726562,353039.44244384766,124450.0,19975.44423508644,105440.83082580566,0.898450918659088,35303.94432449341,347654.0,24890,2730.8860191031677,782.6576755860589,15,IPPO
1494398.2339749336,1000962.5081787109,348315.88720703125,125270.0,19849.838589191437,107556.20570373535,0.899943442360267,34831.588788986206,348119.0,25054,2742.3630361060573,774.0605280719793,16,IPPO
1447516.4087851048,958373.3210449219,346602.19606018066,127440.0,15100.891680002213,106022.05090332031,0.9023573274292986,34660.219482421875,354970.0,25488,2625.680331629923,673.1996193817461,17,IPPO
1514643.740319252,1019947.5698242188,348007.8042602539,126525.0,20163.366234779358,103844.33743286133,0.9005632324568416,34800.78046798706,349979.0,25305,2794.3769036279964,852.1417929474142,18,IPPO
1516874.5974721909,1030067.4666748047,342999.23321533203,123135.0,20672.89758205414,109402.9268951416,0.8987913258597297,34299.923292160034,338903.0,24627,2822.1026484241224,778.2265932133654,19,IPPO
1489073.7961330414,998902.0546875,344625.93603515625,126185.0,19360.805410385132,104879.7219543457,0.9013708771171703,34462.59360122681,349416.0,25237,2736.717958047945,795.295542007581,20,IPPO
1574046.4070241451,1079806.590209961,342134.874420166,122225.0,29879.942394018173,119932.3238067627,0.8957887613998723,34213.487533569336,328309.0,24445,2958.3742197533174,923.2271602223274,21,IPPO
1517707.2723999023,1002425.9426269531,360635.2637939453,127070.0,27576.065979003906,136453.73225402832,0.8968405087488822,36063.52654647827,349590.0,25414,2746.372445553296,828.5776436260988,22,IPPO
1510769.6865682602,1028831.9512939453,338455.13986206055,122650.0,20832.595412254333,107955.23666381836,0.8983050173832055,33845.513944625854,332814.0,24530,2818.717674777932,758.4618956561602,23,IPPO
1503724.270569086,1003960.4488525391,356336.77810668945,124665.0,18762.04360985756,108734.73121643066,0.8975578631207943,35633.67777633667,347842.0,24933,2750.5765721987373,772.9853457009368,24,IPPO
1494777.7990031242,1003475.0865478516,347172.2370147705,125320.0,18810.475440502167,102558.92623901367,0.9005054685899326,34717.22381210327,348936.0,25064,2749.246812459867,824.4151185277194,25,IPPO
1511705.3333072662,1010416.5844726562,353476.47285461426,125020.0,22792.275979995728,115701.09898376465,0.898419587261359,35347.64728355408,347977.0,25004,2768.2646149935786,798.0275092474931,26,IPPO
1510237.9793992043,1010407.2994384766,351113.7243041992,125010.0,23706.955656528473,110834.30410766602,0.8991959171739978,35111.37250137329,348313.0,25002,2768.2391765437715,792.9607901698072,27,IPPO
1509781.6978811026,1007013.7855224609,356115.9680786133,124785.0,21866.944280028343,107598.87028503418,0.8976219320492996,35611.59666824341,347844.0,24957,2758.9418781437284,824.6851539819774,28,IPPO
1502711.1562681198,1006982.7640380859,351088.3776855469,124575.0,20065.014544487,103396.64590454102,0.8990667092011974,35108.83773803711,347842.0,24915,2758.856887775578,783.0646838536394,29,IPPO
1767965.8904528618,828527.4404296875,822016.1942443848,90525.0,26897.25577878952,1613069.3903961182,0.749114533949564,82201.61940956116,327646.0,18105,2269.938192958048,614.5988844507664,0,EOQ
1760574.884218216,767476.2341308594,874250.2147521973,94020.0,24828.4353351593,1608300.2844543457,0.7501299821334435,87425.02159118652,349882.0,18804,2102.674614057149,519.774133770943,1,EOQ
1784960.9615540504,779806.4812011719,880377.3297729492,93685.0,31092.15057992935,1723177.0979919434,0.7472634824362695,88037.73305511475,348338.0,18737,2136.456112879923,537.5018374927539,2,EOQ
1780910.168252945,814656.6452636719,844571.3648376465,91690.0,29992.158151626587,1653330.3707733154,0.7482018254676531,84457.13650894165,335416.0,18338,2231.9360144210186,575.6686593232462,3,EOQ
1785525.2035663128,779441.7263183594,881513.1705627441,93800.0,30770.306685209274,1735312.1645507812,0.7476495333411418,88151.31736373901,349321.0,18760,2135.4567844338612,554.7283094831705,4,EOQ
1782140.2667355537,781938.8654785156,879146.1438598633,92605.0,28450.257397174835,1738405.5426635742,0.7455261318450283,87914.61407470703,345476.0,18521,2142.298261584974,539.9795925312521,5,EOQ
1775948.0213844776,783538.3197021484,870608.6028442383,92970.0,28831.098838090897,1708618.3732070923,0.7482975403622216,87060.8603591919,345888.0,18594,2146.6803279510914,542.3662215601328,6,EOQ
1771910.7777585983,825464.7856445312,828504.5631103516,90160.0,27781.429003715515,1740298.0362548828,0.7476863833144336,82850.45611572266,328363.0,18032,2261.5473579302225,588.6126698889217,7,EOQ
1775041.8293085098,792319.2836914062,862113.2854003906,91580.0,29029.26021671295,1701974.6774139404,0.7462775737683437,86211.32831954956,339786.0,18316,2170.7377635380994,544.5146428386485,8,EOQ
1789117.7310595512,781683.5981445312,880187.0,94125.0,33122.13291501999,1726608.5393066406,0.7480291757049587,88018.70031356812,349321.0,18825,2141.598899026113,560.6600558670385,9,EOQ
1777773.0752205849,781235.2515869141,875556.2403564453,93510.0,27471.583277225494,1725533.2617492676,0.7488731585477019,87555.62439918518,348651.0,18702,2140.3705522929154,557.7261079141559,10,EOQ
1775374.942198515,821229.9655761719,835531.5311584473,91495.0,27118.445463895798,1638837.4316101074,0.750674680988391,83553.15293121338,335117.0,18299,2249.9451111675944,581.8358833052082,11,EOQ
1799982.668282032,780945.9560546875,897647.4396362305,93375.0,28014.272591114044,1769520.7424926758,0.7428239060573941,89764.74382972717,349040.0,18675,2139.5779617936646,552.4513939133883,12,EOQ
