episode,global_step,elapsed_s,reward_raw,reward_smooth,fill_rate,stockout,cost_holding,cost_stockout,cost_ordering,cost_overflow,cost_service_penalty,cost_total,entropy,approx_kl,clip_frac,value_loss,explained_variance,lr_scale,ent_coef,eval_reward,eval_cost,eval_fill,eval_feasible
1,365,0.6,-17062315.788154565,-17062315.788154565,0.140509508142583,256220.99154663086,1850258.8557128906,2562209.9127807617,456770.0,7467563.56262207,4725513.478456497,17062315.80957222,,,,,,,0.02,nan,nan,nan,
2,730,1.0,-17115877.01189184,-17089096.4000232,0.13767190179247513,260681.78408813477,1850999.5317382812,2606817.857788086,456855.0,7342405.014892578,4858799.687271118,17115877.091690063,,,,,,,0.02,nan,nan,nan,
3,1095,4.8,-19000794.35088327,-17726329.050309893,0.20817875561141908,332685.2794723511,1804238.1071777344,3326852.7924804688,453000.0,6945787.2177734375,6470916.259811401,19000794.377243042,1.7776240157453638,0.01402600609229634,0.10663939355627487,2.7850594708794043,-0.0013512372970581055,,0.019928,nan,nan,nan,
4,1460,5.3,-16582412.437692579,-17440349.897155564,0.15552211951876438,280518.66233825684,1839751.2133789062,2805186.6146850586,437750.0,6304784.736328125,5194939.917907715,16582412.482299805,1.7776240157453638,0.01402600609229634,0.10663939355627487,2.7850594708794043,-0.0013512372970581055,,0.019928,nan,nan,nan,
5,1825,5.8,-18460961.516049486,-17644472.22093435,0.17090318419596973,345558.432762146,1820618.3798828125,3455584.3204956055,439155.0,6280321.414428711,6465282.391487122,18460961.50629425,1.7776240157453638,0.01402600609229634,0.10663939355627487,2.7850594708794043,-0.0013512372970581055,,0.019928,nan,nan,nan,
6,2190,9.4,-16205946.70703895,-17404717.96861845,0.16353226403001542,276850.7453804016,1838243.8059082031,2768507.4595947266,430245.0,6055632.626739502,5113317.831069946,16205946.723312378,1.7366080127264325,0.01161288485697074,0.09147135423202264,2.2258492645464445,-0.04134476184844971,,0.019820000000000004,nan,nan,nan,
7,2555,9.9,-17792137.075235058,-17460063.555277966,0.1716288501452824,349477.3625564575,1818836.359375,3494773.6407470703,416805.0,5264153.142662048,6797568.941894531,17792137.08467865,1.7366080127264325,0.01161288485697074,0.09147135423202264,2.2258492645464445,-0.04134476184844971,,0.019820000000000004,nan,nan,nan,
8,2920,10.3,-14890548.374221403,-17138874.157645892,0.12506547283516245,256119.5841369629,1854005.8005371094,2561195.838684082,417655.0,5340549.079956055,4717142.69128418,14890548.410461426,1.7366080127264325,0.01161288485697074,0.09147135423202264,2.2258492645464445,-0.04134476184844971,,0.019820000000000004,nan,nan,nan,
9,3285,14.0,-16136583.683833424,-17027508.549444508,0.25160206007418306,323835.5305956006,1778860.7497558594,3238355.3171253204,402680.0,4647840.273010254,6068847.308860779,16136583.648752213,1.673666924238205,0.011369202169111017,0.07182204924327762,1.9535624369194633,0.01824265718460083,,0.019712,nan,nan,nan,
10,3650,14.6,-16054644.118018918,-16930222.10630195,0.22748121126046594,327646.8488305211,1791192.4487304688,3276468.499077797,392690.0,4278859.398864746,6315433.787780762,16054644.134453773,1.673666924238205,0.011369202169111017,0.07182204924327762,1.9535624369194633,0.01824265718460083,,0.019712,nan,nan,nan,
