episode,global_step,elapsed_s,reward_raw,reward_smooth,fill_rate,stockout,cost_holding,cost_stockout,cost_ordering,cost_overflow,cost_service_penalty,cost_total,entropy,approx_kl,clip_frac,value_loss,explained_variance,lr_scale,ent_coef,eval_reward,eval_cost,eval_fill,eval_feasible
1,365,0.6,-19698396.318118487,-19698396.318118487,0.18135777833750022,346291.39025878906,1813543.1889648438,3462913.911376953,455775.0,7262923.9638671875,6703240.318145752,19698396.382354736,,,,,,,0.02,nan,nan,nan,
2,730,1.3,-19692748.44393009,-19695572.381024286,0.18107155113575313,349615.29553222656,1811859.2409667969,3496152.9716796875,456355.0,7224257.123474121,6704124.153381348,19692748.489501953,,,,,,,0.02,nan,nan,nan,
3,1095,6.7,-17028436.910630476,-18806527.22422635,0.1485005955155173,263702.5535736084,1846724.5185546875,2637025.535583496,453780.0,7211244.068847656,4879662.837596893,17028436.960582733,1.7784644177085476,0.013326839394674033,0.10212868128560092,1.9349002289144617,-0.0002614259719848633,,0.019964000000000003,nan,nan,nan,
4,1460,7.4,-16974177.858992487,-18348439.882917885,0.16456346501317431,289972.5023651123,1834808.0725097656,2899725.0189208984,438735.0,6420449.865722656,5380459.923812866,16974177.880966187,1.7784644177085476,0.013326839394674033,0.10212868128560092,1.9349002289144617,-0.0002614259719848633,,0.019964000000000003,nan,nan,nan,
5,1825,8.1,-17624965.135294687,-18203744.933393247,0.2459232505854917,322857.96026182175,1785192.2907714844,3228579.6111326218,439385.0,6083407.359375,6088400.920692444,17624965.18197155,1.7784644177085476,0.013326839394674033,0.10212868128560092,1.9349002289144617,-0.0002614259719848633,,0.019964000000000003,nan,nan,nan,
6,2190,13.6,-18256411.821951095,-18212522.748152886,0.17929441332130547,347008.27404272556,1814981.3520507812,3470082.746137619,429830.0,5837181.790344238,6704335.939331055,18256411.827863693,1.737762529599039,0.01168225584105561,0.0892368784468425,1.6035303159763938,-0.035036325454711914,,0.019910000000000004,nan,nan,nan,
7,2555,14.3,-17843232.27223904,-18159766.96587948,0.17239863958388169,351058.5658721924,1815438.0571289062,3510585.6547851562,416615.0,5337722.700073242,6762870.86894989,17843232.280937195,1.737762529599039,0.01168225584105561,0.0892368784468425,1.6035303159763938,-0.035036325454711914,,0.019910000000000004,nan,nan,nan,
8,2920,14.9,-16479559.941428367,-17949741.087823093,0.25187635270169717,320530.58419036865,1781345.384765625,3205305.8599853516,414755.0,5019727.16796875,6058426.546127319,16479559.958847046,1.737762529599039,0.01168225584105561,0.0892368784468425,1.6035303159763938,-0.035036325454711914,,0.019910000000000004,nan,nan,nan,
9,3285,20.3,-15779143.124136977,-17708563.536302414,0.27668470031588044,345565.3310546875,1757156.0778808594,3455653.3107910156,401155.0,4424948.658447266,5740230.072559357,15779143.119678497,1.6761035417255603,0.011637144806483871,0.07998737526175223,1.6032351898519617,0.009546995162963867,,0.019856,nan,nan,nan,
10,3650,21.0,-16927633.34611717,-17630470.51728389,0.1713092835060145,351436.13119506836,1815157.6491699219,3514361.317138672,389765.0,4415526.535888672,6792822.911651611,16927633.413848877,1.6761035417255603,0.011637144806483871,0.07998737526175223,1.6032351898519617,0.009546995162963867,,0.019856,nan,nan,nan,
