episode,global_step,elapsed_s,reward_raw,reward_smooth,fill_rate,stockout,cost_holding,cost_stockout,cost_ordering,cost_overflow,cost_service_penalty,cost_total,entropy,approx_kl,clip_frac,value_loss,explained_variance,lr_scale,ent_coef,eval_reward,eval_fill
1,365,1.0,-8604336.939255808,-8604336.939255808,0.936695985598107,44489.69129180908,1630487.7612304688,30006.796446561813,455935.0,6231511.117248535,256396.282289505,8604336.95721507,,,,,,,0.02,nan,nan
2,730,1.7,-8614733.594151307,-8609535.266703557,0.9349257937849385,41310.70748472214,1623502.1643066406,28664.177969932556,455720.0,6290848.692626953,215998.55870056152,8614733.593604088,,,,,,,0.02,nan,nan
3,1095,3.2,-7746394.212752012,-8321821.582053042,0.9097752670719199,43446.90692329407,1503771.3637695312,32568.65544986725,452790.0,5574617.284408569,182646.90188598633,7746394.205513954,1.775930211732262,0.015689342711371672,0.2609657162898465,0.8455683902690285,-0.0008320808410644531,,0.019992800000000005,nan,nan
4,1460,3.8,-7419762.001025505,-8096306.686796158,0.9294455320867774,54065.93276023865,1599914.1865234375,35890.41858291626,436105.0,5008443.229888916,339409.1467895508,7419761.981784821,1.775930211732262,0.015689342711371672,0.2609657162898465,0.8455683902690285,-0.0008320808410644531,,0.019992800000000005,nan,nan
5,1825,4.5,-7015844.593415763,-7880214.268120078,0.926543988103736,55680.46230316162,1508593.0153808594,35987.252029418945,437050.0,4730916.127990723,303298.1893386841,7015844.584739685,1.775930211732262,0.015689342711371672,0.2609657162898465,0.8455683902690285,-0.0008320808410644531,,0.019992800000000005,nan,nan
6,2190,5.7,-7158528.48366592,-7759933.304044385,0.9300339747781623,49897.49188232422,1592787.3251953125,33381.66180849075,428555.0,4830232.122314453,273572.3611907959,7158528.470509052,1.730934557161833,0.013677663925256255,0.23909532043494677,0.6364487080197585,0.09039807319641113,,0.019982,nan,nan
7,2555,6.3,-6057667.749671222,-7516752.510562505,0.9151441577362688,57974.3786239624,1497229.9091796875,39635.33493041992,416315.0,3796437.043701172,308050.4671783447,6057667.754989624,1.730934557161833,0.013677663925256255,0.23909532043494677,0.6364487080197585,0.09039807319641113,,0.019982,nan,nan
8,2920,7.1,-6829353.806066062,-7430827.67250045,0.9262629481211101,54535.709506988525,1636209.9812011719,36542.81998062134,416420.0,4328061.236633301,412119.7738189697,6829353.811634064,1.730934557161833,0.013677663925256255,0.23909532043494677,0.6364487080197585,0.09039807319641113,,0.019982,nan,nan
9,3285,8.3,-5596226.239915662,-7226983.068879918,0.8904235758193552,67139.9725151062,1486913.0434570312,45580.09895515442,401795.0,3260363.775390625,401574.3402328491,5596226.25803566,1.6589632457808445,0.015326210256812613,0.22886550661764646,0.5162156937937987,0.13551747798919678,,0.0199712,nan,nan
10,3650,9.0,-5394313.727830197,-7043716.134774946,0.8917893094559238,70734.78900241852,1496761.4091796875,48858.5856256485,390030.0,2971382.1033935547,487281.6306152344,5394313.728814125,1.6589632457808445,0.015326210256812613,0.22886550661764646,0.5162156937937987,0.13551747798919678,,0.0199712,nan,nan
11,4015,9.6,-6235875.843321685,-6970276.108279195,0.917362644737714,64068.84171485901,1658427.5583496094,42845.59078979492,389165.0,3584053.0786132812,561384.6029586792,6235875.830711365,1.6589632457808445,0.015326210256812613,0.22886550661764646,0.5162156937937987,0.13551747798919678,,0.0199712,nan,nan
12,4380,10.9,-5652728.604137764,-6860480.482934075,0.9107204022472852,82529.07238578796,1582264.4721679688,52350.97826385498,365610.0,2864546.3930358887,787956.7510223389,5652728.594490051,1.5668992509967403,0.013681630455960802,0.22039768178212016,0.42559917545632314,0.1772823929786682,,0.019960400000000003,nan,nan
13,4745,11.6,-5605784.061132694,-6763965.373564739,0.9080015623406188,78445.70986557007,1616064.939453125,50520.11322975159,356980.0,2820259.024520874,761959.9906692505,5605784.067873001,1.5668992509967403,0.013681630455960802,0.22039768178212016,0.42559917545632314,0.1772823929786682,,0.019960400000000003,nan,nan
14,5110,12.2,-5525172.21969967,-6675480.148288662,0.9109162227748192,81705.5797214508,1606694.9206542969,52034.20818710327,358530.0,2697436.220397949,810476.8823013306,5525172.23154068,1.5668992509967403,0.013681630455960802,0.22039768178212016,0.42559917545632314,0.1772823929786682,,0.019960400000000003,nan,nan
15,5475,13.5,-4872501.921644172,-6555281.599845695,0.8940838124654065,117452.90013122559,1472614.1555175781,69999.76112937927,323205.0,1769143.5581359863,1237539.4491653442,4872501.923948288,1.4581321603373478,0.012921654529906701,0.240895589911624,0.3836675784305522,0.23472601175308228,,0.019949600000000005,nan,nan
16,5840,14.2,-4640949.865419511,-6435635.866444059,0.8750999331474304,103320.43939590454,1467193.060913086,67180.07176971436,322125.0,1736306.9803085327,1048144.7558288574,4640949.86882019,1.4581321603373478,0.012921654529906701,0.240895589911624,0.3836675784305522,0.23472601175308228,,0.019949600000000005,nan,nan
17,6205,15.5,-4494395.761292083,-6321445.272023355,0.8810459635029101,102858.93813705444,1452169.443359375,67588.98526954651,317225.0,1656988.3174438477,1000424.0139083862,4494395.759981155,1.349541491583774,0.01336938911175055,0.22627178030578712,0.30171602650692586,0.28640127182006836,,0.019942400000000006,nan,nan
18,6570,16.2,-4405739.855237553,-6215017.193313032,0.8519460836501971,121276.99252319336,1424932.8264160156,79673.02087020874,280025.0,1272668.0321350098,1348440.9752960205,4405739.854717255,1.349541491583774,0.01336938911175055,0.22627178030578712,0.30171602650692586,0.28640127182006836,,0.019942400000000006,nan,nan
19,6935,16.9,-4715503.220551624,-6136095.405272958,0.8741684265332679,135206.61741638184,1436882.3752441406,81946.96451663971,278380.0,1330626.248785019,1587667.638431549,4715503.226977348,1.349541491583774,0.01336938911175055,0.22627178030578712,0.30171602650692586,0.28640127182006836,,0.019942400000000006,nan,nan
20,7300,18.2,-5093479.882310819,-6083964.629124852,0.8722603476210816,105794.58318138123,1644468.298828125,69695.15702819824,258355.0,1779584.1243743896,1341377.3084030151,5093479.888633728,1.2142035270992078,0.016457859664785104,0.1820424401054257,0.28915925637671824,0.35263508558273315,,0.0199316,nan,nan
21,7665,18.8,-4601355.5948268045,-5883815.561903402,0.8144506287901369,148966.14291381836,1387245.4509277344,96722.91014099121,230610.0,976591.694267273,1910185.5247764587,4601355.580112457,1.2142035270992078,0.016457859664785104,0.1820424401054257,0.28915925637671824,0.35263508558273315,,0.0199316,nan,nan
22,8030,19.4,-4562531.92324657,-5681205.478358164,0.82580722439779,145675.84969329834,1396232.3642578125,95319.22802734375,227350.0,941246.8602333069,1902383.4731445312,4562531.925662994,1.2142035270992078,0.016457859664785104,0.1820424401054257,0.28915925637671824,0.35263508558273315,,0.0199316,nan,nan
23,8395,20.7,-4630125.752938079,-5525392.055367468,0.7967691032853845,161951.74166107178,1350466.1818847656,105387.69482040405,209535.0,780195.5206298865,2184541.3590545654,4630125.756389622,1.0825098533379405,0.012355993399643538,0.11778901772279489,0.3094488970543209,0.4245296120643616,,0.019920800000000002,nan,nan
24,8760,21.4,-4812646.043588501,-5395036.2574956175,0.8237349374653542,176168.9282989502,1333444.666015625,107389.15588378906,187970.0,773308.130698204,2410534.089767456,4812646.042365074,1.0825098533379405,0.012355993399643538,0.11778901772279489,0.3094488970543209,0.4245296120643616,,0.019920800000000002,nan,nan
25,9125,23.2,-5004108.080741154,-5294449.431861887,0.8214600812898923,188984.49769592285,1340089.9194335938,114304.23887252808,188325.0,699179.3703956604,2662209.557193756,5004108.085895538,1.0825098533379405,0.012355993399643538,0.11778901772279489,0.3094488970543209,0.4245296120643616,,0.019920800000000002,-9265627.350581422,0.1143994400099124
26,9490,24.6,-4315423.4904734995,-5152294.1822022665,0.7924078062789081,157767.15980529785,1277015.5703125,104007.57067394257,174200.0,689449.0418434143,2070751.3007946014,4315423.483624458,0.9830905434332395,0.007345072697621378,0.07808538085143817,0.2820002973863953,0.5317568778991699,,0.019910000000000004,-9265627.350581422,0.1143994400099124
27,9855,25.2,-4248539.028415844,-5061837.7461394975,0.7704385904416646,154019.34382629395,1268846.38671875,105762.6135635376,170355.0,634086.2718691826,2069488.751800537,4248539.023952007,0.9830905434332395,0.007345072697621378,0.07808538085143817,0.2820002973863953,0.5317568778991699,,0.019910000000000004,-9265627.350581422,0.1143994400099124
28,10220,25.9,-4383011.960727428,-4939520.653872565,0.8146697815150431,135925.80101776123,1443650.6506347656,89626.04632949829,161995.0,858272.3255805969,1829467.9337387085,4383011.956283569,0.9830905434332395,0.007345072697621378,0.07808538085143817,0.2820002973863953,0.5317568778991699,,0.019910000000000004,-9265627.350581422,0.1143994400099124
29,10585,27.2,-3969868.1737971846,-4858202.750566641,0.8213839808555499,114072.58148956299,1461422.4677734375,78269.31400299072,150150.0,817479.0700917244,1462547.3255996704,3969868.177467823,0.9287678058210173,0.005670596156242506,0.06898739473208,0.21447194681355827,0.641402542591095,,0.0198992,-9265627.350581422,0.1143994400099124
30,10950,27.8,-3657895.873747702,-4771381.857862517,0.7731410194749702,131553.0453338623,1214157.5979003906,93035.97197723389,162945.0,572424.6488933563,1615332.6523742676,3657895.8711452484,0.9287678058210173,0.005670596156242506,0.06898739473208,0.21447194681355827,0.641402542591095,,0.0198992,-9265627.350581422,0.1143994400099124
31,11315,29.1,-3581564.3059517597,-4638666.280994021,0.7831361473423161,127376.90272140503,1209176.5412597656,90351.65121459961,161475.0,574287.4679393768,1546273.6421966553,3581564.3026103973,0.8901356380236777,0.005236500816049795,0.06842549645194881,0.12884384099590152,0.761179506778717,,0.019892,-9265627.350581422,0.1143994400099124
32,11680,29.8,-3364824.572665836,-4524271.079420425,0.8403389710269562,91891.57744598389,1463926.2521972656,64379.9039516449,141710.0,617255.5595969558,1077552.8515138626,3364824.567259729,0.8901356380236777,0.005236500816049795,0.06842549645194881,0.12884384099590152,0.761179506778717,,0.019892,-9265627.350581422,0.1143994400099124
33,12045,30.4,-3221396.209148706,-4405051.686821225,0.7915956201618665,117383.90561652184,1171514.814453125,82253.44503679872,158040.0,537598.8129825592,1271989.139492035,3221396.211964518,0.8901356380236777,0.005236500816049795,0.06842549645194881,0.12884384099590152,0.761179506778717,,0.019892,-9265627.350581422,0.1143994400099124
34,12410,31.8,-2990018.3018995505,-4278293.990931219,0.7673707850991863,109974.07680511475,1145136.1892089844,79595.01244586706,169205.0,512675.9180679321,1083406.1787719727,2990018.298494756,0.8630797015993219,0.00484120573980219,0.06325865644765527,0.07365156239584873,0.8535584807395935,,0.0198812,-9265627.350581422,0.1143994400099124
35,12775,32.4,-3023130.253322225,-4185825.407515122,0.8601035278137416,73699.8904876709,1488310.5363769531,53772.23876953125,138395.0,582298.1395993233,760354.336730957,3023130.2514767647,0.8630797015993219,0.00484120573980219,0.06325865644765527,0.07365156239584873,0.8535584807395935,,0.0198812,-9265627.350581422,0.1143994400099124
36,13140,33.1,-2911949.987874834,-4099375.4136378877,0.7725431855410746,126282.81182861328,1107182.8829345703,86292.48874664307,174475.0,507345.7010231018,1036653.91456604,2911949.987270355,0.8630797015993219,0.00484120573980219,0.06325865644765527,0.07365156239584873,0.8535584807395935,,0.0198812,-9265627.350581422,0.1143994400099124
37,13505,34.4,-2804071.5950881355,-4014859.205327691,0.7777037003268934,121834.59438323975,1079430.7987060547,81831.81423568726,179725.0,460682.19478678703,1002401.7815704346,2804071.5892989635,0.8682220515451933,0.004339452163644876,0.05542366976212514,0.04762523297808672,0.9047345519065857,,0.019870400000000003,-9265627.350581422,0.1143994400099124
38,13870,35.0,-2594168.2506482704,-3924280.625098227,0.836206688293039,90885.8413181305,1120372.0861816406,61691.67017745972,159335.0,439300.43331336975,813469.0530357361,2594168.242708206,0.8682220515451933,0.004339452163644876,0.05542366976212514,0.04762523297808672,0.9047345519065857,,0.019870400000000003,-9265627.350581422,0.1143994400099124
39,14235,35.7,-2612268.1329222885,-3819118.8707167604,0.8102194077348056,91245.88593292236,1141111.825805664,66707.51044654846,168495.0,447036.69002485275,788917.1028747559,2612268.129151821,0.8682220515451933,0.004339452163644876,0.05542366976212514,0.04762523297808672,0.9047345519065857,,0.019870400000000003,-9265627.350581422,0.1143994400099124
