episode,global_step,elapsed_s,reward_raw,reward_smooth,fill_rate,stockout,cost_holding,cost_stockout,cost_ordering,cost_overflow,cost_service_penalty,cost_total,entropy,approx_kl,clip_frac,value_loss,explained_variance,lr_scale,ent_coef,eval_reward,eval_fill
1,365,1.0,-8604336.939255808,-8604336.939255808,0.936695985598107,44489.69129180908,1630487.7612304688,30006.796446561813,455935.0,6231511.117248535,256396.282289505,8604336.95721507,,,,,,,0.02,nan,nan
2,730,1.7,-8614733.594151307,-8609535.266703557,0.9349257937849385,41310.70748472214,1623502.1643066406,28664.177969932556,455720.0,6290848.692626953,215998.55870056152,8614733.593604088,,,,,,,0.02,nan,nan
3,1095,3.1,-7746394.212752012,-8321821.582053042,0.9097752670719199,43446.90692329407,1503771.3637695312,32568.65544986725,452790.0,5574617.284408569,182646.90188598633,7746394.205513954,1.7759368576501544,0.0156826394271009,0.26088032087213114,0.8455681400863748,-0.0008320808410644531,,0.019964000000000003,nan,nan
4,1460,3.7,-7419935.065914329,-8096349.953018364,0.9294381837322288,54069.36447715759,1599917.5783691406,35891.228969573975,436100.0,5008615.011627197,339411.2433166504,7419935.062282562,1.7759368576501544,0.0156826394271009,0.26088032087213114,0.8455681400863748,-0.0008320808410644531,,0.019964000000000003,nan,nan
5,1825,4.4,-7015516.72630604,-7880183.307675898,0.9265326656707346,55634.82919502258,1508536.7131347656,35965.065647125244,437035.0,4731127.9646606445,302851.97776031494,7015516.72120285,1.7759368576501544,0.0156826394271009,0.26088032087213114,0.8455681400863748,-0.0008320808410644531,,0.019964000000000003,nan,nan
6,2190,5.6,-7158585.829186269,-7759917.06126096,0.9300319728785998,49896.89810371399,1592786.7319335938,33380.62164735794,428555.0,4830284.160400391,273579.30308532715,7158585.817066669,1.7309658448947103,0.013669247995781725,0.23893363067978307,0.6364602415185225,0.090423583984375,,0.019910000000000004,nan,nan
7,2555,6.3,-6058565.183081851,-7516866.792949659,0.9151157676357112,58009.416015625,1497268.4545898438,39653.42903518677,416320.0,3797257.2309570312,308066.0707550049,6058565.185337067,1.7309658448947103,0.013669247995781725,0.23893363067978307,0.6364602415185225,0.090423583984375,,0.019910000000000004,nan,nan
8,2920,7.0,-6829405.3681737855,-7430934.114852674,0.9262701248469418,54534.65469741821,1636219.6064453125,36540.219621658325,416410.0,4328125.954650879,412109.59147644043,6829405.37219429,1.7309658448947103,0.013669247995781725,0.23893363067978307,0.6364602415185225,0.090423583984375,,0.019910000000000004,nan,nan
9,3285,8.3,-5597063.975524528,-7227170.766038436,0.8904083532829807,67154.10883903503,1486954.244140625,45589.629777908325,401800.0,3261029.213989258,401690.90004730225,5597063.987955093,1.6590186373183602,0.01532022295171038,0.22909653010336975,0.5163117749126334,0.1356748342514038,,0.019856,nan,nan
10,3650,9.0,-5394308.169531451,-7043884.506387738,0.8917859152571795,70732.46115589142,1496757.8969726562,48857.870701789856,390040.0,2971505.463745117,487146.9420776367,5394308.1734972,1.6590186373183602,0.01532022295171038,0.22909653010336975,0.5163117749126334,0.1356748342514038,,0.019856,nan,nan
11,4015,9.7,-6236537.00757239,-6970489.279222705,0.9173635729371685,64070.353313446045,1658429.736328125,42848.121881484985,389170.0,3584700.6579589844,561388.4781417847,6236536.994310379,1.6590186373183602,0.01532022295171038,0.22909653010336975,0.5163117749126334,0.1356748342514038,,0.019856,nan,nan
12,4380,11.1,-5652678.922576642,-6860671.7495022,0.910770028584624,82516.82298088074,1582284.1303710938,52339.86658859253,365615.0,2864702.745574951,787737.1700897217,5652678.912624359,1.566995005858572,0.01369026865861662,0.22095850923735844,0.4256668926069611,0.17755424976348877,,0.019802,nan,nan
13,4745,11.7,-5607745.276525655,-6764292.790042466,0.9080282683241857,78444.06439590454,1616078.5903320312,50521.8609790802,356990.0,2822571.2888031006,761583.5358963013,5607745.276010513,1.566995005858572,0.01369026865861662,0.22095850923735844,0.4256668926069611,0.17755424976348877,,0.019802,nan,nan
14,5110,12.4,-5526115.639492615,-6675851.565003191,0.9109788385156082,81720.59617805481,1606694.2509765625,52026.35746383667,358535.0,2698095.6223754883,810764.4202651978,5526115.651081085,1.566995005858572,0.01369026865861662,0.22095850923735844,0.4256668926069611,0.17755424976348877,,0.019802,nan,nan
15,5475,13.7,-4865923.573124131,-6555189.698877919,0.8939988397572138,117142.0721359253,1472300.3984375,69859.96307182312,322970.0,1769839.473815918,1230953.724067688,4865923.559392929,1.4585273093298863,0.012927420716167896,0.24012863459555725,0.3835812395340518,0.2352476716041565,,0.019748,nan,nan
16,5840,14.4,-4634139.840202842,-6435124.082710728,0.8752947689735726,103216.7448310852,1466979.616821289,67147.287940979,321925.0,1733573.8383102417,1044514.0942077637,4634139.837280273,1.4585273093298863,0.012927420716167896,0.24012863459555725,0.3835812395340518,0.2352476716041565,,0.019748,nan,nan
17,6205,15.7,-4492023.646427555,-6320824.057047012,0.8809151171004935,102830.01439666748,1451475.2507324219,67599.6653175354,316970.0,1656589.1594238281,999389.5550460815,4492023.630519867,1.3493861477625997,0.01337363098627975,0.22812799864301556,0.3006714037374446,0.2866801619529724,,0.019712,nan,nan
18,6570,16.3,-4405442.984680411,-6214413.99747109,0.8518896880215161,121265.41290664673,1424615.3684082031,79696.1982421875,279510.0,1273139.7285728455,1348481.6863555908,4405442.981578827,1.3493861477625997,0.01337363098627975,0.22812799864301556,0.3006714037374446,0.2866801619529724,,0.019712,nan,nan
19,6935,17.0,-4719695.672453756,-6135744.611943862,0.8740885476543478,135292.25483322144,1436556.5109863281,81974.99840259552,277905.0,1332105.6862106323,1591153.4699745178,4719695.665574074,1.3493861477625997,0.01337363098627975,0.22812799864301556,0.3006714037374446,0.2866801619529724,,0.019712,nan,nan
20,7300,18.3,-5098537.053552921,-6083884.234024315,0.872164484899338,106067.84555053711,1644917.5419921875,69837.2342414856,257925.0,1779284.8062286377,1346572.4783248901,5098537.060787201,1.2144777147393477,0.016454526349279103,0.1807917546676962,0.2896095824084784,0.35198742151260376,,0.019658000000000002,nan,nan
21,7665,19.1,-4606239.278953452,-5883979.3510091975,0.8148166403378526,149192.6982421875,1387719.9982910156,96827.07233810425,230230.0,975377.851272583,1916084.3431358337,4606239.265037537,1.2144777147393477,0.016454526349279103,0.1807917546676962,0.2896095824084784,0.35198742151260376,,0.019658000000000002,nan,nan
22,8030,19.7,-4571632.897560918,-5681824.316179679,0.8256207712709087,146113.55740737915,1396644.3598632812,95560.61059188843,227040.0,942229.6420669556,1910158.2849121094,4571632.897434235,1.2144777147393477,0.016454526349279103,0.1807917546676962,0.2896095824084784,0.35198742151260376,,0.019658000000000002,nan,nan
23,8395,21.1,-4631566.282689812,-5526082.919676568,0.7959612950886765,161838.5608215332,1350096.8645019531,105387.8413734436,209165.0,784017.2533646822,2182899.3282928467,4631566.287532926,1.0822748902596926,0.012349700257417632,0.11706489432407052,0.3104224361871418,0.42368167638778687,,0.019604000000000003,nan,nan
24,8760,21.7,-4813189.456604022,-5395745.639211053,0.8234492964940529,176339.2687072754,1331159.8562011719,107467.22592163086,187490.0,771259.2389984131,2415813.1486053467,4813189.4697265625,1.0822748902596926,0.012349700257417632,0.11706489432407052,0.3104224361871418,0.42368167638778687,,0.019604000000000003,nan,nan
25,9125,23.5,-5002648.99649762,-5295102.252720632,0.821036835565959,188822.9525604248,1340201.1584472656,114261.14561843872,187975.0,700875.0103034973,2659336.680973053,5002648.995342255,1.0822748902596926,0.012349700257417632,0.11706489432407052,0.3104224361871418,0.42368167638778687,,0.019604000000000003,-9265627.350581422,0.1143994400099124
26,9490,24.9,-4342952.432258811,-5154320.582874258,0.7916288772674456,158998.9379272461,1277333.6518554688,104731.75082683563,173565.0,682770.1381292343,2104551.8801403046,4342952.420951843,0.981478026038722,0.007352278022488845,0.07828695738786146,0.2827998156610288,0.5307794213294983,,0.019550000000000005,-9265627.350581422,0.1143994400099124
27,9855,25.5,-4264933.485315476,-5064638.9979859395,0.7697625062237047,154928.3611755371,1267956.2473144531,106278.25162506104,169690.0,630917.1963610649,2090091.7918395996,4264933.487140179,0.981478026038722,0.007352278022488845,0.07828695738786146,0.2827998156610288,0.5307794213294983,,0.019550000000000005,-9265627.350581422,0.1143994400099124
28,10220,26.2,-4418395.58080748,-4944088.508617624,0.8140848863614749,137602.66442871094,1445578.7404785156,90563.89686965942,161365.0,854887.8507575989,1866000.0725326538,4418395.560638428,0.981478026038722,0.007352278022488845,0.07828695738786146,0.2827998156610288,0.5307794213294983,,0.019550000000000005,-9265627.350581422,0.1143994400099124
29,10585,27.5,-3989076.3458621167,-4863689.127134504,0.8209389162390199,115315.92972564697,1461750.7153320312,78931.47241210938,149615.0,810880.5825840235,1487898.5792617798,3989076.349589944,0.9274197009048963,0.005663428044403861,0.06862359307706356,0.2173032323388677,0.639755129814148,,0.019496,-9265627.350581422,0.1143994400099124
30,10950,28.3,-3672414.357250189,-4777594.4365204405,0.7722177868020045,132322.46588134766,1213150.4399414062,93502.04340362549,162410.0,570423.9951267242,1632927.8777160645,3672414.3561878204,0.9274197009048963,0.005663428044403861,0.06862359307706356,0.2173032323388677,0.639755129814148,,0.019496,-9265627.350581422,0.1143994400099124
31,11315,29.6,-3614961.035330924,-4646515.637908367,0.7821428566762846,128833.23742675781,1210569.0966796875,91151.62365722656,160850.0,570603.4903650284,1581786.8243255615,3614961.035027504,0.8886789687369999,0.005231133922519037,0.06820116564631462,0.13032672083691546,0.7597570419311523,,0.019460000000000005,-9265627.350581422,0.1143994400099124
32,11680,30.2,-3368031.2023021327,-4532283.251894641,0.8393546615561394,92203.7120437622,1463865.072265625,64636.082597732544,140810.0,615154.9939994812,1083565.050488472,3368031.1993513107,0.8886789687369999,0.005231133922519037,0.06820116564631462,0.13032672083691546,0.7597570419311523,,0.019460000000000005,-9265627.350581422,0.1143994400099124
33,12045,30.9,-3223748.264858544,-4413083.401311286,0.7905825304658446,117662.7749903202,1167409.8493652344,82517.067748487,157410.0,540173.3353214264,1276238.0193748474,3223748.271809995,0.8886789687369999,0.005231133922519037,0.06820116564631462,0.13032672083691546,0.7597570419311523,,0.019460000000000005,-9265627.350581422,0.1143994400099124
34,12410,32.2,-3000759.571197307,-4286815.597896521,0.7663316209022313,110500.9687576294,1145069.9965820312,79975.97854465246,168495.0,513959.27372553945,1093259.3215942383,3000759.5704464614,0.8608359137648031,0.0048047065707386965,0.06297221956284423,0.07410094651736711,0.8531366586685181,,0.019406,-9265627.350581422,0.1143994400099124
35,12775,32.9,-3024010.512182216,-4194719.944849425,0.8592955109191267,73687.04880142212,1487936.2707519531,53856.99921798706,137870.0,581816.7175235748,762530.5169677734,3024010.5044612885,0.8608359137648031,0.0048047065707386965,0.06297221956284423,0.07410094651736711,0.8531366586685181,,0.019406,-9265627.350581422,0.1143994400099124
36,13140,33.5,-2922874.604021285,-4109156.683040347,0.7711683088785981,126574.96589660645,1107648.1909179688,86588.7772026062,173815.0,509063.7562713623,1045758.8823394775,2922874.606731415,0.8608359137648031,0.0048047065707386965,0.06297221956284423,0.07410094651736711,0.8531366586685181,,0.019406,-9265627.350581422,0.1143994400099124
37,13505,34.8,-2827555.625019035,-4025933.281969921,0.7765819918619443,122327.16144561768,1079888.0989990234,82179.56388473511,179045.0,472966.4015240669,1013476.5617218018,2827555.626129627,0.867488977940459,0.004278281481291694,0.055072449931972904,0.04794398749149159,0.9044315218925476,,0.019352,-9265627.350581422,0.1143994400099124
38,13870,35.5,-2600310.7789010787,-3935676.6716809548,0.835277734880578,91124.42744445801,1123069.3415527344,61921.7585105896,158325.0,438074.60039520264,818920.0775718689,2600310.7780303955,0.867488977940459,0.004278281481291694,0.055072449931972904,0.04794398749149159,0.9044315218925476,,0.019352,-9265627.350581422,0.1143994400099124
39,14235,36.1,-2625931.713021352,-3830988.4737093346,0.8099904894828797,92727.94995689392,1138540.3404541016,67475.73090744019,167515.0,445247.99221229553,807152.6440124512,2625931.7075862885,0.867488977940459,0.004278281481291694,0.055072449931972904,0.04794398749149159,0.9044315218925476,,0.019352,-9265627.350581422,0.1143994400099124
